paso,desempeno_acoplado,desempeno_acoplado_de,desempeno_desacoplado,desempeno_desacoplado_de
65,0.9962152972060959,0.005710179751604908,1.0,0.0
66,0.9959159051022888,0.006137302516718074,1.0,0.0
67,0.9950821628385252,0.006632823369668086,1.0,0.0
68,0.9965871203982188,0.005692793364237778,1.0,0.0
69,0.9935819061919092,0.008211344158002478,1.0,0.0
70,0.9962138122148171,0.005701028037818635,1.0,0.0
71,0.9941681329087099,0.006995162378807262,1.0,0.0
72,0.995591064313234,0.006860308867416976,1.0,0.0
73,0.9917813293790214,0.007594187486047334,1.0,0.0
74,0.9928303166445239,0.009849117363863262,1.0,0.0
75,0.9931874551467295,0.0074575387318375095,1.0,0.0
76,0.9954066678792973,0.0057289371074114815,1.0,0.0
77,0.9950286324670464,0.005847285306723587,1.0,0.0
78,0.9933058055902079,0.007886037385267108,1.0,0.0
79,0.995464689685404,0.006980959174714392,1.0,0.0
80,0.9940073680735718,0.00936597407481699,1.0,0.0
81,0.9919862777996796,0.0073867918572869985,1.0,0.0
82,0.9922820263766076,0.008427348477224074,1.0,0.0
83,0.9913340338990441,0.008770793647212886,1.0,0.0
84,0.9971175907568725,0.005322696450762063,1.0,0.0
85,0.9934091411354897,0.007263653373112584,1.0,0.0
86,0.9941748947108651,0.008890442283057461,1.0,0.0
87,0.9936089457284739,0.006614067382909967,1.0,0.0
88,0.9917530732201095,0.00870895069023109,1.0,0.0
89,0.9948815902483168,0.005854042148649237,1.0,0.0
90,0.9954463369628032,0.007071805625300785,1.0,0.0
91,0.9949931732958491,0.00848505070755693,1.0,0.0
92,0.990508617194731,0.009089650209145914,1.0,0.0
93,0.9911499174012547,0.009259558053784417,1.0,0.0
94,0.9965273835530404,0.004925290048045798,1.0,0.0
95,0.9958176225587517,0.007052611205191948,1.0,0.0
96,0.9922164146713629,0.007036718590554443,1.0,0.0
97,0.9962380086267734,0.005614157701044661,1.0,0.0
98,0.9953572618416806,0.006414538501986725,1.0,0.0
99,0.9916658694291401,0.009995104303433063,1.0,0.0
100,0.9918221429390001,0.007812234270590517,1.0,0.0
101,0.9942003729157931,0.008669232347783214,1.0,0.0
102,0.9937400590871217,0.006464068156511614,1.0,0.0
103,0.9909111263665035,0.00853392821384828,1.0,0.0
104,0.9937450320316125,0.008106989817074134,1.0,0.0
105,0.9902357695063619,0.007439075060563778,1.0,0.0
106,0.9946650956772247,0.007494465072155699,1.0,0.0
107,0.9923667007156428,0.008496349216548122,1.0,0.0
108,0.9934791510978517,0.00672966848169997,1.0,0.0
109,0.9933398830703676,0.009546165649973182,1.0,0.0
110,0.9912590035154892,0.00872500216220299,1.0,0.0
111,0.9927976795824995,0.009717783274105687,1.0,0.0
112,0.9904940810537749,0.008317862718917796,1.0,0.0
113,0.9956309232301569,0.005485197419632051,1.0,0.0
114,0.9906398824781567,0.010321044955123693,1.0,0.0
115,0.9936501711373081,0.009255154952349414,1.0,0.0
116,0.9945355498769876,0.005904134897327706,1.0,0.0
